custom-id-1,expected-gfa
34245,2043.06
112509,3792.4
22070,4016.53
69034,3943.64
34209,1770.3
44431,1933.04
96996,4348.59
43671,1656.16
54658,2142.48
54654,1217.36
63078,2459.4
64493,14202.95
71939,1701.22
77257,5410.44
43400,1896.63
54577,3547.8
22145,1209.42
62534,5503.2
43872,1405.44
68358,4127.97
54576,5678.5
54659,1165.63
75062,1213.82
87292,2087.5
44687,1592.72
34248,2283.45
92567,8410.48
43870,2918.72
43444,1509.06
44513,3840.18
44115,1575.6
81203,4403.44
43911,2161.02
106314,1507.89
44429,1472.64
68151,8184
106755,22404.06
6369,2063.98
83490,22503.4
89465,3780.62
60936,1225
22378,1793.58
75480,7211.08
43956,1097.48
44574,11068.64
92728,6127.42
44678,1204.97
54598,4567.98
56522,1548.64
58412,3853.88
36632,984.21
44150,3384.08
43893,3520.11
62236,3707.4
56525,1036.73
43746,3204.78
43744,2386.56
55072,2118.36
34445,973.11
44105,1197.16
34425,1065.87
44000,4780.1
70646,1599.12
55063,3079.68
58418,2927.45
22234,3161.34
44128,2036.76
54730,2507.02
69904,2258.8
44430,2005.88
44887,981.54
44889,1120.26
43739,1260.09
34396,4644.65
6200,1594.54
52309,1852.9
52325,5314.36
32748,1552.41
18584,1240.6
62652,4159.8
116423,1335.9
55108,1869.54
55109,1573.4
39971,1778.2
43740,3099.27
107950,4185.36
80663,2773.95
43672,2068.02
44640,7379.97
44575,17038.08
43712,1257.54
43840,1935.51
101390,31699.2
44685,3231.48
43685,1301.73
113847,3611.56
43884,2918.64
43871,2188.32
44736,1399.32
92367,8178.93
44104,1174.77
43720,3370.5
43745,3744.24
39246,1220.7
43797,3936.92
43963,2373.65
22143,14122.26
22379,1885.64
44080,2597.1
22301,2664.72
44160,1978.6
104716,1254.93
83905,9585.48
43773,1884.66
43784,3353.4
43865,3800.94
44676,2764.98
44441,2760
43912,931.26
98407,3437.7
72950,1972.17
37128,1229.4
44351,9102.8
43887,1559.1
44081,2943.84
33967,976.38
44762,7357.1
43729,2111.76
43829,4853.48
43686,1728.93
43799,3201.24
56526,930.26
22302,5275.4
89590,1604.16
43890,2561.84
78056,2106.51
95633,4051.35
44125,1725.88
22322,1634.58
43721,2635.53
43984,6820.47
33927,7832
56538,8016.56
59704,1176.58
92774,1720.8
44371,4108.44
43839,2846.97
96504,2215.8
43888,1301.31
43738,2041.95
43332,1137.9
56022,1666.92
44297,1216.52
56009,3194.85
44373,2643.2
56135,4976.07
36482,1485.69
56171,5597.22
44584,1063.11
22069,2495.23
43864,2506.52
7174,1453.17
112220,3434.1
18586,2415.98
44387,2116.84
47783,4111.42
43673,3484.28
43653,1150.53
43695,3189
50283,1251
50285,934.46
50288,960.62
50284,930.18
50270,933.1
50271,949.66
50272,947.32
56532,4401.84
43909,1462.2
36292,959.46
50831,1169.53
50832,7664.53
44294,3644.2
22068,2090.39
36490,1053.84
34013,8511.6
112316,6629.92
109115,6771.54
43660,1258.26
22460,1910.48
44891,4262.16
43913,5849.7
43710,2209.05
124414,7621.28
50306,9570.05
43727,2222.94
132958,2341.35
51473,3994.4
51472,4010.56
51475,4092.52
91110,2450.52
6525,1405.61
44821,4763
43817,2339.16
43868,2018.04
22072,3304.47
22076,1216.06
22313,1178.17
22077,935.43
22075,1073.91
22073,1687.66
22074,975.66
43792,1485.14
52251,1255.52
63034,979.38
44339,2024.24
22232,1117.22
79884,2649.06
75502,5688.15
86860,941.9
62976,930.72
83112,1584.68
52254,9375.56
22424,12574.15
52255,6667.64
44566,3693.48
